Temperatura;Umidade;Pressao;Velocidade_Vento;Producao_Agua
34.5;65;1012;3.2;7.0
22.0;75;1015;2.0;8.2
30.5;72;1013;3.8;7.8
28.0;50;1010;5.0;5.5
18.0;80;1016;2.5;8.7
33.0;60;1012;4.5;6.5
30.0;80;1014;3.0;8.8
34.0;68;1011;3.5;7.0
31.0;70;1013;3.2;7.5
20.5;75;1015;2.7;8.1
29.5;85;1013;2.8;9.2
27.0;55;1010;4.2;6.0
19.5;78;1017;2.1;8.4
38.0;30;1008;6.0;3.5
28.5;65;1013;3.4;7.1
32.0;70;1012;3.8;7.4
36.5;35;1009;5.9;4.0
33.5;60;1011;4.0;6.5
31.0;50;1010;5.1;5.6
29.0;75;1014;3.0;7.9
35.5;40;1010;5.5;4.5
34.0;45;1011;4.8;5.0
31.5;68;1012;3.5;7.0
27.0;70;1013;3.0;7.6
26.5;72;1012;2.8;7.8
25.0;75;1014;2.5;8.0
24.5;73;1013;2.2;8.1
23.0;77;1015;2.0;8.4
29.0;65;1012;3.4;7.1
28.5;68;1013;3.6;6.9
22.0;75;1015;2.5;8.3
26.0;70;1013;3.0;7.8
23.5;74;1014;2.8;8.0
28.0;60;1012;3.7;6.5
27.0;65;1011;3.5;6.9
21.5;78;1016;2.4;8.5
22.0;76;1015;2.3;8.3
23.0;74;1014;2.7;8.0
25.5;69;1013;3.0;7.4
24.0;70;1014;2.8;7.6
27.5;66;1012;3.6;6.8
26.0;68;1013;3.3;7.0
22.5;75;1015;2.6;8.2
23.0;74;1014;2.7;8.1
21.0;77;1016;2.4;8.4
20.0;80;1017;2.2;8.6
19.5;82;1016;2.1;8.7
18.0;85;1015;2.0;8.9
17.0;83;1014;1.9;8.8
19.0;81;1013;2.3;8.7
18.5;80;1012;2.2;8.6
19.0;79;1011;2.4;8.5
21.0;75;1010;2.8;8.2
22.5;73;1009;3.0;8.0
23.0;70;1011;2.9;7.8
20.0;78;1013;2.5;8.5
19.0;79;1012;2.3;8.6
21.5;75;1011;2.7;8.3
22.0;72;1010;3.0;8.0
18.0;80;1014;2.1;8.7
20.0;77;1015;2.5;8.4
21.5;74;1013;2.8;8.2
19.0;80;1014;2.3;8.6
22.0;73;1012;2.9;8.1
21.0;75;1011;2.6;8.3
23.5;70;1010;3.0;7.9
18.5;82;1015;2.1;8.7
22.0;74;1014;2.7;8.3
21.5;76;1013;2.6;8.2
23.0;72;1012;2.8;8.0
20.0;78;1011;2.4;8.5
32.0;65;1010;4.5;6.7
33.5;60;1011;4.8;6.3
31.0;62;1012;4.2;6.9
29.5;65;1013;3.8;7.2
28.0;68;1012;3.5;7.5
34.0;55;1010;5.0;5.8
31.0;60;1011;4.0;6.5
33.5;58;1013;4.3;6.1
30.0;65;1012;3.7;7.0
35.5;50;1010;5.5;5.5
29.0;67;1011;3.6;7.3
31.0;62;1013;4.1;6.8
33.0;55;1010;5.0;5.6
28.5;68;1012;3.8;7.1
30.0;65;1011;4.0;6.9
32.0;60;1013;4.2;6.5
29.0;66;1011;3.7;7.0
28.5;68;1012;3.5;7.3
30.0;64;1010;4.1;6.7
31.5;62;1013;4.3;6.4
27.0;69;1012;3.4;7.5
28.0;67;1011;3.6;7.1
33.5;55;1009;5.0;5.7
31.0;60;1010;4.2;6.5
29.5;63;1012;3.8;7.0
34.0;58;1011;4.5;6.0
30.5;61;1013;4.0;6.7
35.0;55;1008;5.2;5.5
28.0;65;1012;3.7;7.0
27.5;66;1011;3.5;7.2
29.0;63;1013;3.8;6.9
30.0;60;1010;4.0;6.6
31.5;59;1011;4.1;6.4
28.5;65;1012;3.7;7.0
33.0;55;1010;4.5;5.8
29.5;62;1013;3.9;6.8
34.0;57;1009;5.0;5.7
31.0;60;1011;4.3;6.3
28.0;65;1012;3.8;7.0
32.0;58;1010;4.4;6.1
30.5;60;1011;4.1;6.5
29.0;63;1012;3.7;7.0
33.5;56;1010;4.9;5.9
28.0;66;1011;3.6;7.2
27.5;67;1012;3.5;7.3
29.0;65;1013;3.8;7.0
31.0;60;1011;4.2;6.5
33.0;58;1010;4.5;6.1
28.5;65;1012;3.7;7.0
29.5;63;1013;3.8;6.9
31.0;60;1011;4.1;6.5
27.0;67;1012;3.5;7.3
30.0;62;1010;4.0;6.7
29.5;63;1011;3.8;7.0
28.0;65;1012;3.6;7.2
31.5;60;1010;4.2;6.5
32.0;58;1011;4.4;6.1
29.0;63;1012;3.7;7.0
28.5;64;1010;3.6;7.1
27.0;67;1013;3.5;7.3
31.0;60;1011;4.1;6.5
30.5;61;1012;4.0;6.6
28.0;65;1010;3.7;7.0
29.5;63;1013;3.8;6.9
31.0;60;1011;4.2;6.4
27.5;66;1012;3.5;7.1
30.0;62;1010;4.0;6.7
28.0;65;1011;3.6;7.2
29.5;63;1013;3.8;6.9
31.0;60;1012;4.1;6.5
27.0;66;1010;3.5;7.3
30.0;62;1011;4.0;6.7
29.5;64;1012;3.8;7.0
28.0;65;1010;3.6;7.1
31.0;59;1011;4.2;6.3
30.5;60;1012;4.0;6.6
29.0;62;1011;3.8;6.8
27.5;66;1010;3.5;7.1
31.0;60;1012;4.2;6.5
28.0;65;1011;3.7;7.0
29.5;63;1013;3.8;6.9
30.0;61;1010;4.1;6.7
27.0;67;1011;3.5;7.2
31.5;58;1012;4.3;6.3
29.0;64;1010;3.8;7.0
30.0;60;1011;4.0;6.6
28.5;65;1012;3.7;7.0
31.0;59;1010;4.2;6.5
29.5;63;1011;3.8;6.9
30.0;62;1012;4.0;6.7
28.0;64;1010;3.6;7.1
31.5;59;1011;4.3;6.4
29.0;65;1012;3.7;7.0
30.0;61;1010;4.1;6.7
27.5;67;1011;3.5;7.3
31.0;60;1012;4.2;6.5
29.5;63;1010;3.8;6.9
30.0;62;1011;4.0;6.6
28.5;65;1012;3.7;7.0
31.0;60;1010;4.2;6.5
29.0;63;1011;3.8;6.9
30.5;61;1012;4.1;6.6
28.0;64;1010;3.7;7.0
31.0;59;1011;4.2;6.4
29.5;63;1012;3.8;6.9
30.0;62;1010;4.0;6.6
27.5;66;1011;3.5;7.2
31.5;58;1012;4.3;6.3
29.0;64;1010;3.8;7.0
30.0;60;1011;4.1;6.6
28.5;65;1012;3.7;7.0
31.0;59;1010;4.2;6.5
29.5;63;1011;3.8;6.9
30.0;62;1012;4.0;6.7
28.0;65;1010;3.6;7.1
31.0;60;1011;4.2;6.5
29.5;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.0;66;1011;3.6;7.0
31.5;58;1012;4.3;6.3
29.0;64;1010;3.8;7.0
30.0;60;1011;4.0;6.6
28.5;65;1012;3.7;7.0
31.0;59;1010;4.2;6.5
29.5;63;1011;3.8;6.9
30.0;62;1012;4.0;6.7
28.0;64;1010;3.6;7.1
31.5;59;1011;4.3;6.4
29.0;65;1012;3.7;7.0
30.0;61;1010;4.1;6.7
28.5;66;1011;3.6;7.2
31.0;59;1012;4.2;6.5
29.5;63;1010;3.8;6.9
30.0;60;1011;4.0;6.6
28.0;65;1012;3.7;7.0
31.0;58;1010;4.3;6.3
29.5;64;1011;3.8;6.9
30.0;62;1012;4.0;6.7
28.5;65;1010;3.7;7.0
31.5;59;1011;4.2;6.5
29.0;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.0;66;1011;3.6;7.1
31.0;60;1012;4.2;6.5
29.5;63;1010;3.8;6.9
30.0;61;1011;4.0;6.6
28.5;64;1012;3.7;7.0
31.5;58;1010;4.3;6.3
29.0;65;1011;3.7;7.0
30.0;62;1012;4.0;6.7
28.0;66;1010;3.6;7.1
31.0;60;1011;4.2;6.5
29.5;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.5;65;1011;3.7;7.0
31.0;59;1012;4.2;6.5
29.0;63;1010;3.8;6.9
30.0;62;1011;4.0;6.6
28.5;64;1012;3.7;7.0
31.5;58;1010;4.3;6.3
29.0;65;1011;3.7;7.0
30.0;61;1012;4.0;6.6
28.0;66;1010;3.6;7.1
31.0;60;1011;4.2;6.5
29.5;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.5;64;1011;3.7;7.0
31.0;59;1012;4.2;6.5
29.0;65;1010;3.7;7.0
30.0;62;1011;4.0;6.6
28.5;64;1012;3.7;7.0
31.5;59;1010;4.3;6.3
29.0;63;1011;3.8;6.9
30.0;62;1012;4.0;6.6
28.5;65;1010;3.7;7.0
31.0;60;1011;4.2;6.5
29.5;63;1012;3.8;6.9
30.0;61;1010;4.1;6.7
28.0;65;1011;3.6;7.0
31.0;59;1012;4.2;6.5
29.5;63;1010;3.8;6.9
30.0;62;1011;4.0;6.6
